Week Ending,Provider State,Newcases
02/07/21,NY,376.0
02/07/21,OH,303.0
02/07/21,OK,98.0
02/07/21,OR,35.0
02/07/21,PA,357.0
02/07/21,PR,0.0
02/07/21,RI,44.0
02/07/21,SC,152.0
02/07/21,SD,11.0
02/07/21,TN,117.0
02/07/21,TX,710.0
02/07/21,UT,64.0
02/07/21,VA,167.0
02/07/21,VT,8.0
02/07/21,WA,64.0
02/07/21,WI,52.0
02/07/21,WV,19.0
02/07/21,WY,4.0
02/14/21,AK,0.0
02/14/21,AL,76.0
02/14/21,AR,51.0
02/14/21,AZ,240.0
02/14/21,CA,1009.0
02/14/21,CO,46.0
02/14/21,CT,110.0
02/14/21,DC,8.0
02/14/21,DE,36.0
02/14/21,FL,462.0
02/14/21,GA,123.0
02/14/21,GU,0.0
02/14/21,HI,0.0
02/14/21,IA,44.0
02/14/21,ID,59.0
02/14/21,IL,210.0
02/14/21,IN,110.0
02/14/21,KS,62.0
02/14/21,KY,83.0
02/14/21,LA,38.0
02/14/21,MA,217.0
02/14/21,MD,87.0
02/14/21,ME,5.0
02/14/21,MI,104.0
02/14/21,MN,41.0
02/14/21,MO,111.0
02/14/21,MS,27.0
02/14/21,MT,5.0
02/14/21,NC,236.0
02/14/21,ND,12.0
02/14/21,NE,25.0
02/14/21,NH,15.0
02/14/21,NJ,414.0
02/14/21,NM,31.0
02/14/21,NV,66.0
02/14/21,NY,394.0
02/14/21,OH,258.0
02/14/21,OK,73.0
02/14/21,OR,32.0
02/14/21,PA,351.0
02/14/21,PR,0.0
02/14/21,RI,35.0
02/14/21,SC,95.0
02/14/21,SD,14.0
02/14/21,TN,95.0
02/14/21,TX,536.0
02/14/21,UT,63.0
02/14/21,VA,122.0
02/14/21,VT,4.0
02/14/21,WA,79.0
02/14/21,WI,138.0
02/14/21,WV,14.0
02/14/21,WY,0.0
02/21/21,AK,1.0
02/21/21,AL,59.0
02/21/21,AR,36.0
02/21/21,AZ,179.0
02/21/21,CA,703.0
02/21/21,CO,40.0
02/21/21,CT,116.0
02/21/21,DC,5.0
02/21/21,DE,28.0
02/21/21,FL,384.0
02/21/21,GA,182.0
02/21/21,GU,0.0
02/21/21,HI,0.0
02/21/21,IA,28.0
02/21/21,ID,7.0
02/21/21,IL,185.0
02/21/21,IN,60.0
02/21/21,KS,42.0
02/21/21,KY,56.0
02/21/21,LA,18.0
02/21/21,MA,159.0
02/21/21,MD,66.0
02/21/21,ME,6.0
02/21/21,MI,75.0
02/21/21,MN,39.0
02/21/21,MO,60.0
02/21/21,MS,20.0
02/21/21,MT,11.0
02/21/21,NC,175.0
02/21/21,ND,7.0
02/21/21,NE,28.0
02/21/21,NH,16.0
02/21/21,NJ,304.0
02/21/21,NM,29.0
02/21/21,NV,30.0
02/21/21,NY,378.0
02/21/21,OH,200.0
02/21/21,OK,65.0
02/21/21,OR,27.0
02/21/21,PA,234.0
02/21/21,PR,0.0
02/21/21,RI,39.0
02/21/21,SC,92.0
02/21/21,SD,9.0
02/21/21,TN,90.0
02/21/21,TX,357.0
02/21/21,UT,42.0
02/21/21,VA,73.0
02/21/21,VT,7.0
02/21/21,WA,36.0
02/21/21,WI,28.0
02/21/21,WV,9.0
02/21/21,WY,0.0
02/28/21,AK,1.0
02/28/21,AL,33.0
02/28/21,AR,36.0
02/28/21,AZ,102.0
02/28/21,CA,652.0
02/28/21,CO,28.0
02/28/21,CT,81.0
02/28/21,DC,7.0
02/28/21,DE,12.0
02/28/21,FL,313.0
02/28/21,GA,97.0
02/28/21,GU,0.0
02/28/21,HI,0.0
02/28/21,IA,34.0
02/28/21,ID,7.0
02/28/21,IL,263.0
02/28/21,IN,52.0
02/28/21,KS,30.0
02/28/21,KY,48.0
02/28/21,LA,30.0
02/28/21,MA,164.0
02/28/21,MD,67.0
02/28/21,ME,7.0
02/28/21,MI,54.0
02/28/21,MN,39.0
02/28/21,MO,37.0
02/28/21,MS,27.0
02/28/21,MT,4.0
02/28/21,NC,138.0
02/28/21,ND,9.0
02/28/21,NE,20.0
